Value
"(0.23659435269295184, 0.03663965654044616)"
"(0.2778075830837732, 0.049094485401561305)"
"(0.20790600909906298, 0.04585006487195707)"
"(0.21268213720225543, 0.05212185611825654)"
"(0.2598822156625984, 0.047684302017040825)"
"(0.2165241500700945, 0.04388675980777253)"
"(0.262605526055016, 0.05293298838671723)"
"(0.22170158798631062, 0.05340001965381003)"
"(0.2184573594139706, 0.04578042231346108)"
"(0.20911874708856976, 0.045803111211651565)"
"(0.2716820340666737, 0.04480415134325527)"
"(0.2672081505410533, 0.05146089484442659)"
"(0.290929796597713, 0.03971071384379515)"
"(0.27704582325078053, 0.048137623278313585)"
"(0.28635938471932965, 0.04935586679996273)"
"(0.27529990623710915, 0.04115078345201987)"
"(0.2805214438530279, 0.03575994795281705)"
"(0.23826198243493424, 0.04577387478616003)"
"(0.23730272014898582, 0.05695302515419269)"
"(0.24411801196538324, 0.04423942663630318)"
"(0.3008705854405153, 0.04514547415114392)"
"(0.22356283265912824, 0.04640143607837617)"
"(0.25398851943007195, 0.046902820615572)"
"(0.25636263124082825, 0.057220444964257336)"
"(0.2760796862312542, 0.0425272384836187)"
"(0.2974784502706643, 0.046773518691525996)"
"(0.3018973380370933, 0.03854686662728824)"
"(0.245191976977884, 0.05714995584162147)"
"(0.27263115857677256, 0.04779405164582043)"
"(0.2561157478444257, 0.034581580664148584)"
"(0.2540495609977965, 0.05599693088103061)"
"(0.27365530945607475, 0.04391188876843927)"
"(0.23775045513811802, 0.04032913276162077)"
"(0.27452994170484024, 0.05124711124724983)"
"(0.25520754194785666, 0.04531380568717716)"
"(0.25341995282975993, 0.04352175660339755)"
"(0.2704530692169596, 0.052824103400231706)"
"(0.2526315442412984, 0.03894836547318699)"
"(0.22368327424474654, 0.052841051858492555)"
"(0.24635574926713444, 0.04422054937683657)"
"(0.2616963633128948, 0.05596539102946185)"
"(0.25811687198999894, 0.043735713163296705)"
"(0.27183496186672057, 0.054062125653388984)"
"(0.27179014110597044, 0.051046977289916154)"
"(0.25923167134086267, 0.05244232364151767)"
"(0.2376793939045153, 0.03650286490644651)"
"(0.2941281434371745, 0.04290044482692013)"
"(0.264318350426859, 0.04565822316446597)"
"(0.23374634458058846, 0.04124618531439665)"
"(0.26171068122154406, 0.03725255900080305)"
"(0.2640235237999858, 0.04865772820696041)"
"(0.25847698326862023, 0.048262506528488354)"
"(0.24872785319752036, 0.03717643507461281)"
"(0.213551817613726, 0.051245974629048605)"
"(0.2736734534433086, 0.04571860994042526)"
"(0.2680758430196347, 0.04105166180161865)"
"(0.24933661635291013, 0.05250282874558501)"
"(0.26767930006073404, 0.034852496576339154)"
"(0.2235085286449357, 0.04054200802039386)"
"(0.21591475425051695, 0.05223581171976914)"
"(0.23853145828826858, 0.04246331081822062)"
"(0.255850054759699, 0.045094612647918725)"
"(0.21575946782941896, 0.051705467147495646)"
"(0.2698150436815021, 0.05388777540167336)"
"(0.26175360113174384, 0.05646125094573903)"
"(0.2436692537226061, 0.05567749789304774)"
"(0.288616899924981, 0.040551905927464944)"
"(0.30376282412352174, 0.039767899137712955)"
"(0.26680261879323275, 0.0537612849479908)"
"(0.24656735560444346, 0.04684882260566473)"
"(0.23947479045067901, 0.03911865807822211)"
"(0.2395207886565883, 0.034932853041882636)"
"(0.3060132290433014, 0.04353399956718035)"
"(0.2727953956917287, 0.04725431421482918)"
"(0.29360216257211563, 0.041213989403241315)"
"(0.24599178192034069, 0.04597336592402042)"
"(0.24236463257429447, 0.04120944164365134)"
"(0.2375277728864815, 0.038086028429373274)"
"(0.26120234629836375, 0.03433966044251227)"
"(0.22356609343670014, 0.0435868647001577)"
"(0.26010718198467087, 0.042307675809543144)"
"(0.2983167724445174, 0.04733968868682106)"
"(0.3062392337998707, 0.043539161949680494)"
"(0.2491292300173583, 0.03425633094798984)"
"(0.22812835988367103, 0.052402340849578066)"
"(0.24794933747304768, 0.0450027010700958)"
"(0.28480363315157486, 0.03565013146940336)"
"(0.27963707148162, 0.04355475090024312)"
"(0.2950035890272255, 0.03908114640173435)"
"(0.21590479649181232, 0.04751065370277406)"
"(0.24535502233513043, 0.03980709941934672)"
"(0.22636529733252375, 0.05314878686569437)"
"(0.25318739174481575, 0.04609261669719816)"
"(0.27323759897270694, 0.04792591225502794)"
"(0.25964223490874194, 0.04154524640289953)"
"(0.2557059842245991, 0.04944416442887044)"
"(0.2663255953206338, 0.044655201914481475)"
"(0.29706152102821126, 0.04016711106624221)"
"(0.26871002973868185, 0.04754646989815638)"
"(0.22998469542295322, 0.04689005462224281)"
"(0.28968586727790446, 0.037918434903476426)"
"(0.22908923667459088, 0.049930187565875285)"
"(0.25962948059369206, 0.03963224435156826)"
"(0.2305672167970752, 0.04564223570970864)"
"(0.2634880718879973, 0.03550116696566417)"
"(0.2653374244223329, 0.03391990428821891)"
"(0.21900687759673906, 0.039694154641585405)"
"(0.28381008248056466, 0.05153986982295508)"
"(0.2617625448943144, 0.04575338647188133)"
"(0.2183260360356703, 0.04884324449451466)"
"(0.2947335281132302, 0.042967401029274606)"
"(0.2258639669541981, 0.048919640333851946)"
"(0.22988848266737286, 0.055691326382994094)"
"(0.22710895436087314, 0.0484006838790596)"
"(0.2748046261160285, 0.043864255564562846)"
"(0.23699562592868903, 0.03733574163037066)"
"(0.23159313959336933, 0.04751909916190619)"
"(0.25929258536787253, 0.03591795023413215)"
"(0.2365416559846742, 0.05270101162643742)"
"(0.2880919203410072, 0.0505080648849046)"
"(0.24060147792274103, 0.038300864544936156)"
"(0.30198220973851675, 0.040346773412586495)"
"(0.21544556072199894, 0.04912009305899516)"
"(0.24311026931799337, 0.039715997442313605)"
"(0.23802731240935865, 0.04862759911239152)"
"(0.2642597766876053, 0.053613542486385835)"
"(0.234250069797943, 0.04400433478424101)"
"(0.2410844570627418, 0.04596323894059466)"
"(0.27958471100464927, 0.047406861971811806)"
"(0.2643131147407477, 0.03681176295853982)"
"(0.28069485443591846, 0.04473753422949106)"
"(0.2715700284796566, 0.03366922604939548)"
"(0.2867834203656622, 0.04903834127268428)"
"(0.2366105011533507, 0.04213640979088358)"
"(0.24410068434938204, 0.039071692703213264)"
"(0.24758301265073335, 0.05444199915744696)"
"(0.24765398747112652, 0.0550917298880072)"
"(0.241477848868007, 0.03544000008840139)"
"(0.2357399259269203, 0.04263351464984755)"
"(0.25921689999872677, 0.034597061378273015)"
"(0.2996010826738007, 0.04347605230318932)"
"(0.234307051047168, 0.038010603864802255)"
"(0.2773176104442761, 0.04773542480107888)"
"(0.21531153304793915, 0.044292409075581365)"
"(0.249377374688862, 0.05089956134374558)"
"(0.2584423396211343, 0.033822037566281035)"
"(0.2246534892782575, 0.05464432263967471)"
"(0.21169949048113887, 0.048967243279113074)"
"(0.23619394729218987, 0.040739279120006314)"
"(0.2865038133288717, 0.045058304104803354)"
"(0.26263013315103656, 0.03582934470242709)"
"(0.26019898932418517, 0.05063180472268479)"
"(0.22980814070622546, 0.05153864953494372)"
"(0.2369282867062494, 0.03614260084373386)"
"(0.2260259381469666, 0.053134123788025386)"
"(0.23718690860773403, 0.05062911395012343)"
"(0.2516215485933605, 0.05479316862719755)"
"(0.2775885546957125, 0.044183877662394046)"
"(0.22754331786979856, 0.05608110367035761)"
"(0.244882103090407, 0.05374934497689131)"
"(0.27462748384918656, 0.053085477658909766)"
"(0.2739049620927243, 0.04986241171773945)"
"(0.2487931989495547, 0.04161491700564994)"
"(0.28337398175591655, 0.034911835075361976)"
"(0.21950149808049618, 0.053559582050301605)"
"(0.2643462943323987, 0.041186840119409776)"
"(0.2341080592633803, 0.0419945562078375)"
"(0.22689071740599442, 0.04264564107581864)"
"(0.28737467029929226, 0.04341342421889165)"
"(0.24783182661245975, 0.0504935616577593)"
"(0.2381418141276063, 0.04553651162235445)"
"(0.23626709926238887, 0.04163435353685905)"
"(0.27517074979920275, 0.034517492630593685)"
"(0.242096245819775, 0.051525801682640954)"
"(0.257482108876095, 0.055257903880744225)"
"(0.2557085510235777, 0.04885172267711897)"
"(0.2617473046205426, 0.056067754090059166)"
"(0.2229030336806601, 0.05319874409784858)"
"(0.2929588471268896, 0.035937741329926484)"
"(0.2813799296316219, 0.053905569110181684)"
"(0.2594802687145, 0.05523999216693265)"
"(0.2568911196942033, 0.05645367400667016)"
"(0.24222426351917234, 0.04998184351022769)"
"(0.26166688052418574, 0.04668638672870572)"
"(0.2711883027798879, 0.036842704710105846)"
"(0.25710635777476565, 0.040134817658359384)"
"(0.2783651068576667, 0.054665337206326575)"
"(0.28389991465385434, 0.04966384927848089)"
"(0.24158486184592196, 0.038937882042301405)"
"(0.2797535873383784, 0.05280535976198386)"
"(0.2914217553006589, 0.04817478190332336)"
"(0.2423868377257315, 0.048502914450834746)"
"(0.25849196524670626, 0.04150377941873788)"
"(0.27727683258303193, 0.05328562013686358)"
"(0.25860497316958403, 0.05468954094840239)"
"(0.23480758640264332, 0.05117175985919829)"
"(0.24355637118014498, 0.04777808551590752)"
"(0.2376748065708483, 0.04577087476322521)"
"(0.2256710118517273, 0.04693360447611389)"
"(0.25678367766859744, 0.050679503670592076)"
"(0.2891031790197544, 0.03652534348549406)"
"(0.22320443362978232, 0.0534859304980497)"
"(0.2385341842136359, 0.04250877831654244)"
"(0.2517973014334668, 0.03979585631780805)"
"(0.24478914136095234, 0.05580166468206854)"
"(0.28253993836778346, 0.05376471341613115)"
"(0.2755145747167078, 0.049146782893821614)"
"(0.24646779151271972, 0.05309524428518389)"
"(0.28302005254019025, 0.0530926487117008)"
"(0.21625355148890557, 0.0458899588307571)"
"(0.30262558229209063, 0.04081573347280129)"
"(0.25872052448656224, 0.04129914803194751)"
"(0.24237579022825576, 0.05457291031305417)"
"(0.26690543514539966, 0.044298112420021005)"
"(0.2699422061485951, 0.04568785706570056)"
"(0.25975222800216724, 0.03481811034795132)"
"(0.2272019486412678, 0.048772876988959775)"
"(0.28221036371876285, 0.03456663238910907)"
"(0.2662103793638847, 0.05008449083967232)"
"(0.24516728464500404, 0.036307918882357265)"
"(0.23865228889701517, 0.0413519843395036)"
"(0.26276277689260996, 0.05121378729689789)"
"(0.2613483897149337, 0.03388670718388438)"
"(0.2519318460717442, 0.04360008555920228)"
"(0.2694080323765875, 0.03486543366433605)"
"(0.26236134590013704, 0.04385465550000166)"
"(0.24568957821705315, 0.0503743268452015)"
"(0.25507016299898155, 0.04141582530674215)"
"(0.2528149671504327, 0.055801690493977985)"
"(0.23122787354082605, 0.05266797111006022)"
"(0.23194723814312568, 0.036859823424077634)"
"(0.24391167711443643, 0.03858240152404581)"
"(0.26035726716999563, 0.045579901964421105)"
"(0.2648033653269102, 0.03508753140727617)"
"(0.2147648022934085, 0.052072406374998395)"
"(0.23038890082899915, 0.04761212497424695)"
"(0.26339947724377055, 0.04532679347083732)"
"(0.25723227975882995, 0.04757870738975565)"
"(0.2305912332029944, 0.042444549933804004)"
"(0.28637146959190773, 0.039890296816332105)"
"(0.27446104814763805, 0.03609135231356004)"
"(0.2682396101366883, 0.0435498890604616)"
"(0.2146858207063403, 0.05324179258962361)"
"(0.23333610509565306, 0.05200712376446953)"
"(0.27581524415744696, 0.04663515853069908)"
"(0.22472271564684834, 0.05061618201617258)"
"(0.23109077224743796, 0.03871604523267414)"
"(0.23402006725296243, 0.0472541186127986)"
"(0.2788537725898379, 0.052898306549687635)"
"(0.3003959415547405, 0.041851821821084996)"
"(0.2885574587364802, 0.04623602457817612)"
"(0.25288421392098726, 0.05544423107505207)"
"(0.2628950842067298, 0.03336805636675204)"
